"","OTU","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_129","16S_129",0,71,1125,712,371,290,141,0,378,0,24,3566,23,0,0,0,610,0,0,0,0,20,1121,65,909,0,46,46,16,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_130","16S_130",0,54,1181,733,418,314,143,0,390,0,23,3422,17,0,0,0,541,0,0,0,0,18,1097,76,831,0,31,31,26,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_131","16S_131",17,54,928,583,302,242,156,0,451,16,0,3557,24,0,0,0,635,0,28,0,0,0,1164,81,1029,0,41,25,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_132","16S_132",25,59,1014,597,325,246,140,0,424,0,18,3526,24,0,0,0,622,0,0,0,0,14,1120,80,944,0,43,47,27,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_135","16S_135",260,408,282,1426,729,302,238,371,581,479,66,759,194,663,79,34,230,128,146,43,17,116,914,42,365,136,64,64,97,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_136","16S_136",212,339,260,1197,646,245,260,348,684,497,82,846,199,686,74,30,278,136,135,44,28,118,955,49,408,158,95,83,104,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_137","16S_137",204,764,101,446,468,93,361,35,29,259,163,821,248,333,341,299,43,662,494,99,304,203,241,326,206,190,790,383,239,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_139","16S_139",20,71,1075,584,343,288,131,0,410,0,26,3345,20,0,0,0,618,0,18,0,0,0,1020,70,915,16,36,34,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_142","16S_142",26,67,940,587,286,206,140,0,388,12,0,3358,28,0,0,0,600,0,25,0,0,0,1076,52,892,0,48,32,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_143","16S_143",30,90,1089,702,335,268,140,0,369,0,25,3200,22,0,0,0,507,0,18,0,0,0,954,69,759,16,36,28,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_147","16S_147",0,0,122,46,0,45,0,259,0,0,0,63,140,42,43,78,0,63,73,30,462,590,2794,510,607,353,117,1824,59,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_149","16S_149",37,73,124,71,29,222,44,256,83,0,137,262,202,481,138,469,133,130,287,189,232,2724,163,225,123,445,266,508,161,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_152","16S_152",0,77,166,25,0,44,0,218,31,0,0,65,122,39,68,80,0,56,55,47,446,541,2662,487,581,306,121,1743,62,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_155","16S_155",28,74,117,86,17,243,58,263,71,0,142,225,207,416,83,414,137,141,267,163,219,2686,167,219,113,426,244,481,151,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_156","16S_156",0,0,111,0,0,30,0,214,0,0,0,67,165,26,37,80,0,54,60,23,408,548,2606,510,599,324,117,1800,55,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_157","16S_157",173,189,534,160,753,133,51,78,234,361,153,922,68,258,436,199,253,134,149,0,47,124,360,82,975,48,537,110,227,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_158","16S_158",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nodularia PCC-9350",NA
"16S_162","16S_162",0,0,125,36,0,52,0,227,0,0,0,65,148,34,50,90,0,54,48,31,394,490,2467,450,525,305,111,1650,59,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_163","16S_163",34,79,113,79,29,234,72,250,64,32,104,241,189,387,113,407,147,105,270,157,219,2361,138,195,99,410,231,393,142,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_165","16S_165",44,79,134,101,24,240,55,239,57,40,101,228,168,399,129,392,133,131,242,182,228,2488,140,177,103,389,231,381,138,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_166","16S_166",176,231,598,158,973,157,41,47,217,299,132,822,75,209,416,161,202,115,115,46,0,109,346,44,862,34,446,81,242,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_167","16S_167",0,0,150,36,0,45,0,209,33,0,0,64,133,25,61,60,0,63,57,52,393,482,2369,398,520,323,109,1663,59,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_168","16S_168",156,215,533,145,856,137,44,65,218,321,153,846,84,241,386,166,240,120,131,48,0,130,356,68,859,44,434,90,235,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_169","16S_169",142,215,511,146,791,122,54,64,231,334,146,850,62,229,415,189,236,133,117,0,0,116,345,60,905,37,488,85,241,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_170","16S_170",340,106,56,0,0,1185,1632,37,57,216,317,0,535,38,28,32,1100,44,267,17,38,313,58,102,40,223,136,167,140,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_171","16S_171",328,133,0,0,0,1916,115,467,43,33,91,39,165,41,35,30,194,115,80,48,1324,454,0,0,28,192,42,28,92,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas",NA
"16S_172","16S_172",0,0,133,24,0,40,0,171,0,0,0,62,131,14,36,78,0,66,53,34,383,443,2391,513,486,308,122,1541,44,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_174","16S_174",375,128,59,21,23,1212,1564,46,49,185,263,0,489,48,23,32,988,34,239,35,35,271,43,75,31,218,119,139,133,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_175","16S_175",132,501,75,65,88,498,57,681,34,56,544,193,281,310,84,71,378,1526,217,108,94,222,30,123,0,163,136,200,28,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_176","16S_176",351,144,51,0,0,1111,1485,23,65,224,299,0,505,47,29,18,1009,35,277,35,45,291,46,92,29,212,124,175,141,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_177","16S_177",67,237,103,19,85,55,70,216,39,119,1153,571,175,115,154,90,261,343,257,95,179,408,188,233,37,465,462,312,71,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax",NA
"16S_178","16S_178",0,0,126,0,0,35,0,187,0,0,0,52,126,19,45,70,0,48,63,28,382,445,2280,419,459,272,113,1529,42,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_179","16S_179",0,0,186,20,0,40,0,187,0,0,0,59,124,20,46,70,0,63,41,25,343,466,2214,410,481,266,97,1428,42,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_180","16S_180",72,266,126,17,75,60,43,205,33,122,961,521,167,132,140,105,269,339,238,101,145,367,175,246,40,416,395,277,98,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax",NA
"16S_181","16S_181",352,106,62,0,0,2114,104,440,0,68,70,0,136,47,21,30,158,72,89,0,1174,376,0,0,0,178,24,41,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas",NA
"16S_182","16S_182",149,550,64,80,83,566,45,585,28,65,488,186,258,311,78,51,315,1394,208,118,88,181,16,113,28,149,112,167,25,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_183","16S_183",394,150,56,20,24,1142,1442,28,42,183,220,0,471,45,25,29,844,28,235,30,37,257,48,70,23,182,118,171,128,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_184","16S_184",121,496,78,64,90,493,39,599,19,57,494,193,260,293,79,43,367,1424,230,104,96,168,18,118,0,146,127,211,31,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_185","16S_185",53,243,99,27,77,60,51,221,52,119,978,599,172,132,156,84,296,312,277,94,166,393,175,244,31,384,450,279,59,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax",NA
"16S_189","16S_189",133,523,72,59,75,536,46,624,18,61,448,175,245,294,80,49,294,1402,181,115,91,208,19,109,36,127,90,158,36,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_190","16S_190",29,38,104,72,22,156,66,190,54,63,95,197,155,366,111,382,105,89,244,139,177,1987,131,152,99,332,209,336,123,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_191","16S_191",320,114,0,0,0,1935,98,420,60,23,92,0,127,37,27,38,177,109,76,50,1232,407,0,0,0,187,34,22,59,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas",NA
"16S_192","16S_192",138,90,398,84,66,292,68,318,262,103,301,67,215,47,220,237,462,66,44,600,161,348,141,153,317,110,339,181,95,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_193","16S_193",70,297,118,23,81,64,49,214,33,120,946,556,174,123,127,83,256,274,270,70,149,388,164,201,42,347,448,274,68,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax",NA
"16S_194","16S_194",348,131,62,0,0,2113,92,398,0,60,73,0,125,36,32,37,144,86,77,0,1107,374,0,0,0,204,28,27,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas",NA
"16S_196","16S_196",42,63,87,63,20,180,41,203,53,72,80,177,172,322,84,337,100,103,210,141,186,1898,107,139,79,345,192,342,100,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_198","16S_198",27,39,93,56,15,163,58,196,50,0,72,195,157,321,97,343,115,77,203,137,181,1982,105,141,82,316,182,346,97,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_199","16S_199",123,146,404,87,601,121,42,40,139,286,115,658,53,213,323,131,215,104,93,24,0,88,303,60,752,33,388,74,192,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_204","16S_204",248,224,97,15,0,74,26,44,22,228,46,28,127,109,296,148,132,244,119,305,397,350,53,522,72,1136,172,260,185,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_205","16S_205",128,178,483,134,676,128,41,59,147,234,103,664,52,172,293,111,183,89,90,0,0,84,262,55,607,51,355,69,166,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_206","16S_206",268,256,87,20,0,89,15,50,16,233,52,27,145,107,314,148,126,263,105,301,393,375,43,438,51,1100,147,234,163,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_207","16S_207",132,143,387,82,588,90,38,56,191,256,121,673,59,153,270,135,192,101,100,0,0,85,249,48,743,29,360,53,199,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_208","16S_208",134,91,393,64,67,258,70,279,208,119,288,66,189,31,217,195,387,75,39,566,164,328,145,123,307,99,319,158,75,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_209","16S_209",51,70,118,60,52,188,40,198,32,0,82,165,114,350,98,313,102,92,231,136,187,1667,91,132,58,324,177,294,104,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_210","16S_210",133,90,448,102,66,271,67,286,220,77,273,68,186,34,201,193,379,58,58,585,142,283,121,143,292,111,285,149,70,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_211","16S_211",40,61,103,80,36,168,45,183,57,0,97,178,124,341,90,276,98,93,221,115,162,1644,97,145,74,295,186,323,100,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_212","16S_212",141,192,458,124,756,131,28,35,138,207,85,607,50,188,254,131,155,93,72,0,0,67,258,57,588,48,326,60,180,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_216","16S_216",138,311,84,136,78,222,0,131,87,0,94,292,86,346,242,97,384,302,138,284,303,152,131,72,194,674,129,206,80,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_217","16S_217",27,49,98,53,19,174,44,172,53,0,76,160,150,310,78,285,100,89,183,116,149,1773,84,128,90,320,188,286,98,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_218","16S_218",132,138,378,105,596,109,40,43,155,268,93,599,72,166,272,125,155,89,98,30,0,64,264,43,675,36,344,67,167,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_219","16S_219",242,81,47,13,20,817,1164,49,38,185,201,0,380,38,32,40,790,33,210,37,56,243,34,65,25,178,94,134,126,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_223","16S_223",338,132,44,0,0,1042,1098,39,37,127,204,0,357,49,27,26,679,46,196,45,27,209,33,67,22,140,65,126,121,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_224","16S_224",311,104,37,0,0,999,1164,35,39,160,185,0,374,37,40,31,698,41,177,42,37,220,20,76,35,161,79,100,86,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_225","16S_225",0,60,289,0,118,22,0,314,0,0,643,745,27,30,161,223,586,31,38,20,838,207,151,258,103,0,70,347,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_226","16S_226",250,88,41,0,0,818,1195,17,43,159,205,0,389,33,24,22,815,29,227,27,30,215,32,69,35,168,75,143,109,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_227","16S_227",139,168,430,99,654,125,29,51,162,214,81,602,50,161,303,109,132,62,86,0,73,76,233,35,584,26,339,56,160,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_228","16S_228",278,96,39,28,18,819,1189,50,43,147,198,0,380,35,35,27,757,35,187,42,34,188,37,66,23,139,74,144,122,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_229","16S_229",284,264,82,0,0,72,22,43,48,181,20,23,112,115,293,144,88,254,91,263,390,365,0,423,45,1056,123,243,170,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_230","16S_230",18,62,93,90,23,191,46,182,50,0,77,164,118,317,81,275,76,68,182,97,159,1655,106,139,82,242,169,290,107,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_231","16S_231",282,250,109,0,0,82,13,44,52,200,25,33,122,90,287,139,99,247,120,288,362,347,0,412,38,1023,132,216,138,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_232","16S_232",95,391,68,44,74,365,44,495,22,52,380,149,209,204,77,50,254,1131,173,107,90,169,38,97,0,120,91,138,34,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_233","16S_233",83,159,51,236,135,60,0,126,27,0,28,430,146,74,811,264,73,138,23,95,538,507,183,127,76,78,97,540,44,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_234","16S_234",246,91,40,0,0,1428,72,325,0,47,63,0,112,57,37,42,150,71,70,0,953,338,0,0,0,156,26,32,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas",NA
"16S_235","16S_235",0,69,392,0,88,0,0,341,0,0,624,756,0,36,170,195,552,0,36,17,739,212,123,230,72,0,90,343,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_236","16S_236",50,186,89,34,59,39,28,179,46,110,781,412,117,113,115,64,208,265,221,71,134,297,136,192,43,340,346,211,64,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax",NA
"16S_238","16S_238",143,332,83,149,102,264,0,121,80,0,87,231,82,350,219,82,333,289,102,232,304,150,126,60,199,543,123,197,75,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_239","16S_239",151,110,465,102,76,307,58,223,188,75,252,60,169,30,198,160,345,46,38,513,136,279,109,126,270,88,278,117,81,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_240","16S_240",149,358,74,139,73,178,0,152,78,0,76,272,81,313,233,79,322,300,107,250,304,129,140,67,175,585,114,184,83,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_242","16S_242",149,354,84,161,103,244,0,149,72,0,87,272,66,279,232,86,327,269,91,250,274,116,114,77,181,593,108,179,82,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"16S_244","16S_244",25,70,103,67,19,182,40,183,46,0,75,147,124,310,72,243,95,77,184,111,149,1565,94,146,63,261,148,257,101,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_245","16S_245",86,339,54,47,80,337,38,499,15,39,360,159,203,247,73,44,225,1100,165,97,75,164,16,92,0,114,94,153,31,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_246","16S_246",110,158,413,96,681,115,34,44,134,241,85,547,48,154,259,124,134,73,57,0,0,60,221,52,593,25,254,60,143,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_247","16S_247",115,429,45,56,83,450,43,435,15,51,333,142,199,252,59,36,241,1018,157,98,77,143,33,81,0,95,84,136,28,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_249","16S_249",272,91,0,0,0,1634,77,308,0,0,47,0,111,51,50,44,110,79,49,0,883,292,0,62,0,136,37,32,42,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas",NA
"16S_250","16S_250",105,333,49,60,84,378,48,462,29,50,375,152,178,207,48,44,259,1051,154,109,68,139,25,96,0,105,76,162,36,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA,NA
"16S_251","16S_251",108,433,56,76,73,440,34,432,19,54,347,131,176,233,70,28,243,1057,116,91,63,126,38,83,0,105,84,136,32,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Halobacteriovorax",NA
"16S_252","16S_252",134,179,72,257,148,70,0,129,20,15,0,406,145,59,719,236,76,93,17,97,498,469,156,111,68,80,100,466,35,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"16S_253","16S_253",88,169,79,207,111,59,0,147,41,0,0,381,168,39,830,275,68,82,26,106,530,463,165,106,57,52,87,478,41,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_254","16S_254",324,123,50,0,12,942,1031,28,35,149,181,0,333,23,21,13,675,28,161,24,17,190,28,57,12,121,69,117,90,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_255","16S_255",106,154,346,81,569,78,35,49,159,220,77,546,46,132,244,103,144,79,75,0,0,80,261,40,602,25,338,56,129,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
